year,month,day,MKT_RF,SMB,HML,RF,GE,XOM,AAPL,R3000,R2000,SP500
1933,3,1,0.0335,0.0429,0.0667,0.0004,,,,,,
1933,4,1,0.3804,0.0435,0.1872,0.001,,,,,,
1933,5,1,0.2138,0.3745,0.177,0.0004,,,,,,
1933,6,1,0.1308,0.0811,-0.0146,0.0002,,,,,,
1933,7,1,-0.0959,-0.001,0.0209,0.0002,,,,,,
1933,8,1,0.1203,-0.0424,0.0091,0.0003,,,,,,
1933,9,1,-0.1057,-0.0025,-0.1253,0.0002,,,,,,
1933,10,1,-0.0833,-0.0032,-0.0832,0.0001,,,,,,
1933,11,1,0.0996,-0.0636,0.0207,0.0002,,,,,,
1933,12,1,0.0189,0.0013,-0.0214,0.0002,,,,,,
1934,1,1,0.1264,0.1215,0.1685,0.0005,,,,,,
1934,2,1,-0.0246,0.0447,0.0342,0.0002,,,,,,
1934,3,1,0.0005,0.0236,-0.0326,0.0002,,,,,,
1934,4,1,-0.0182,0.0267,-0.0434,0.0001,,,,,,
1934,5,1,-0.0717,-0.0071,-0.0562,0.0001,,,,,,
1934,6,1,0.0264,-0.0254,-0.0268,0.0001,,,,,,
1934,7,1,-0.1102,-0.0689,-0.1011,0.0001,,,,,,
1934,8,1,0.0571,0.0535,-0.0078,0.0001,,,,,,
1934,9,1,-0.0022,-0.0145,-0.0075,0.0001,,,,,,
1934,10,1,-0.0174,0.0154,-0.0501,0.0001,,,,,,
1934,11,1,0.0842,0.0712,-0.0298,0.0001,,,,,,
1934,12,1,0.0037,0.0285,-0.0244,0.0001,,,,,,
1935,1,1,-0.0343,0.0074,-0.016,0.0001,,,,,,
1935,2,1,-0.0187,0.0015,-0.0658,0.0002,,,,,,
1935,3,1,-0.0368,-0.034,-0.0523,0.0001,,,,,,
1935,4,1,0.0898,-0.0163,0.0429,0.0001,,,,,,
1935,5,1,0.0347,-0.0336,0.0211,0.0001,,,,,,
1935,6,1,0.0587,-0.0498,0.0226,0.0001,,,,,,
1935,7,1,0.0751,0.0196,0.0668,0.0001,,,,,,
1935,8,1,0.0258,0.0682,0.0635,0.0001,,,,,,
1935,9,1,0.0264,0.0078,-0.0488,0.0001,,,,,,
1935,10,1,0.0702,0.0331,-0.0194,0.0001,,,,,,
1935,11,1,0.0485,0.0414,0.1238,0.0002,,,,,,
1935,12,1,0.0456,0.0038,0.007,0.0001,,,,,,
1936,1,1,0.0677,0.0577,0.1045,0.0001,,,,,,
1936,2,1,0.0252,0.0075,0.0407,0.0001,,,,,,
1936,3,1,0.0104,0.0106,-0.015,0.0002,,,,,,
1936,4,1,-0.0814,-0.0612,-0.0243,0.0002,,,,,,
1936,5,1,0.0517,0.008,0.0265,0.0002,,,,,,
1936,6,1,0.024,-0.0281,-0.0098,0.0003,,,,,,
1936,7,1,0.0668,0.0148,0.03,0.0001,,,,,,
1936,8,1,0.0098,0.0061,0.0399,0.0002,,,,,,
1936,9,1,0.0101,0.0315,0.0035,0.0001,,,,,,
1936,10,1,0.0711,-0.0225,0.0237,0.0002,,,,,,
1936,11,1,0.0325,0.0883,-0.0163,0.0001,,,,,,
1936,12,1,0.0028,0.0313,0.0362,0,,,,,,
1937,1,1,0.0326,0.0425,0.0252,0.0001,,,,,,
1937,2,1,0.0109,0.0164,0.0535,0.0002,,,,,,
1937,3,1,-0.0028,-0.0225,0.0633,0.0001,,,,,,
1937,4,1,-0.0732,-0.0356,-0.0411,0.0003,,,,,,
1937,5,1,-0.0083,-0.007,-0.0402,0.0006,,,,,,
1937,6,1,-0.0421,-0.0362,-0.0327,0.0003,,,,,,
1937,7,1,0.0882,0.0102,0.006,0.0003,,,,,,
1937,8,1,-0.0484,0.0042,-0.0234,0.0002,,,,,,
1937,9,1,-0.1358,-0.0705,-0.0423,0.0004,,,,,,
1937,10,1,-0.0958,0.005,-0.0139,0.0002,,,,,,
1937,11,1,-0.0829,-0.0354,0.0022,0.0002,,,,,,
1937,12,1,-0.042,-0.0763,-0.0103,0,,,,,,
1938,1,1,0.0052,0.0494,-0.017,0,,,,,,
1938,2,1,0.0585,0.0043,-0.0227,0,,,,,,
1938,3,1,-0.238,-0.042,-0.0336,-0.0001,,,,,,
1938,4,1,0.1448,0.0659,0.0049,0.0001,,,,,,
1938,5,1,-0.038,-0.0283,-0.0014,0,,,,,,
1938,6,1,0.2372,0.045,0.0034,0,,,,,,
1938,7,1,0.0734,0.0658,0.0132,-0.0001,,,,,,
1938,8,1,-0.0266,-0.0264,-0.0444,0,,,,,,
1938,9,1,0.0081,-0.0284,-0.0117,0.0002,,,,,,
1938,10,1,0.0776,0.0583,0.051,0.0001,,,,,,
1938,11,1,-0.0173,-0.0245,-0.0162,-0.0006,,,,,,
1938,12,1,0.0421,-0.0148,0.0023,0,,,,,,
1939,1,1,-0.0593,-0.02,-0.0312,-0.0001,,,,,,
1939,2,1,0.035,0.0052,0.0324,0.0001,,,,,,
1939,3,1,-0.1193,-0.0549,-0.078,-0.0001,,,,,,
1939,4,1,-0.002,0.016,0.0031,0,,,,,,
1939,5,1,0.0678,0.0305,-0.0003,0.0001,,,,,,
1939,6,1,-0.0527,-0.0166,-0.0534,0.0001,,,,,,
1939,7,1,0.1019,0.0415,0.005,0,,,,,,
1939,8,1,-0.0663,-0.0467,-0.026,-0.0001,,,,,,
1939,9,1,0.1696,0.1966,0.2256,0.0001,,,,,,
1939,10,1,-0.0053,0.0007,-0.0487,0,,,,,,
1939,11,1,-0.036,-0.0486,-0.0638,0,,,,,,
1939,12,1,0.0304,0.0054,-0.042,0,,,,,,
1940,1,1,-0.024,0.0012,-0.0071,0,,,,,,
1940,2,1,0.0142,0.0241,-0.0037,0,,,,,,
1940,3,1,0.0203,0.0123,-0.0126,0,,,,,,
1940,4,1,0.0021,0.0376,0,0,,,,,,
1940,5,1,-0.2192,-0.0637,-0.0418,-0.0002,,,,,,
1940,6,1,0.0666,-0.0236,0.0499,0,,,,,,
1940,7,1,0.0317,0.0127,-0.0105,0.0001,,,,,,
1940,8,1,0.0219,0.0023,0.0024,-0.0001,,,,,,
1940,9,1,0.0241,0.0344,-0.0164,0,,,,,,
1940,10,1,0.03,-0.0021,0.0453,0,,,,,,
1940,11,1,-0.016,0.0164,0.0073,0,,,,,,
1940,12,1,0.0071,-0.021,-0.0126,0,,,,,,
1941,1,1,-0.0414,0.0102,0.0393,-0.0001,,,,,,
1941,2,1,-0.0145,-0.0149,0.0113,-0.0001,,,,,,
1941,3,1,0.0085,0.0017,0.0319,0.0001,,,,,,
1941,4,1,-0.0547,-0.0185,0.0353,-0.0001,,,,,,
1941,5,1,0.0131,-0.0071,0.0035,0,,,,,,
1941,6,1,0.0583,0.0156,0.0036,0,,,,,,
1941,7,1,0.0573,0.0595,0.0775,0.0003,,,,,,
1941,8,1,-0.0016,-0.0058,-0.0108,0.0001,,,,,,
1941,9,1,-0.0084,-0.0109,-0.0003,0.0001,,,,,,
1941,10,1,-0.0513,-0.0228,0.0157,0,,,,,,
1941,11,1,-0.0189,-0.0134,-0.0038,0,,,,,,
1941,12,1,-0.0489,-0.0309,-0.0576,0.0001,,,,,,
1942,1,1,0.0076,0.0764,0.1007,0.0002,,,,,,
1942,2,1,-0.0246,0.0167,-0.0114,0.0001,,,,,,
1942,3,1,-0.0655,0.0165,-0.0041,0.0001,,,,,,
1942,4,1,-0.0436,-0.0067,0.0195,0.0001,,,,,,
1942,5,1,0.059,-0.0289,-0.0296,0.0003,,,,,,
1942,6,1,0.0269,-0.01,0.0047,0.0002,,,,,,
1942,7,1,0.0349,-0.0028,0.0246,0.0003,,,,,,
1942,8,1,0.0179,-0.0023,0.0148,0.0003,,,,,,
1942,9,1,0.0263,0.0052,0.0246,0.0003,,,,,,
1942,10,1,0.0679,0.0179,0.0643,0.0003,,,,,,
1942,11,1,0.0017,-0.0142,-0.0426,0.0003,,,,,,
1942,12,1,0.051,-0.0235,0.0071,0.0003,,,,,,
1943,1,1,0.0712,0.0865,0.0757,0.0003,,,,,,
1943,2,1,0.0615,0.0475,0.0625,0.0003,,,,,,
1943,3,1,0.0606,0.0515,0.0524,0.0003,,,,,,
1943,4,1,0.0079,0.0199,0.0577,0.0003,,,,,,
1943,5,1,0.0574,0.0451,0.0316,0.0003,,,,,,
1943,6,1,0.0182,-0.0105,-0.0067,0.0003,,,,,,
1943,7,1,-0.0476,-0.0241,-0.0221,0.0003,,,,,,
1943,8,1,0.0127,-0.0055,-0.0054,0.0003,,,,,,
1943,9,1,0.0239,0.0128,0.0141,0.0003,,,,,,
1943,10,1,-0.0114,0.0055,0.0165,0.0003,,,,,,
1943,11,1,-0.0588,-0.0164,-0.0402,0.0003,,,,,,
1943,12,1,0.0639,0.033,0.0318,0.0003,,,,,,
1944,1,1,0.0172,0.0258,0.0211,0.0003,,,,,,
1944,2,1,0.0037,-0.0009,0.0079,0.0003,,,,,,
1944,3,1,0.0246,0.0173,0.0333,0.0002,,,,,,
1944,4,1,-0.0169,-0.0131,-0.0115,0.0003,,,,,,
1944,5,1,0.0507,0.016,0.0112,0.0003,,,,,,
1944,6,1,0.0547,0.0402,0.0183,0.0003,,,,,,
1944,7,1,-0.0148,0.0059,-0.003,0.0003,,,,,,
1944,8,1,0.0156,0.0241,-0.0161,0.0003,,,,,,
1944,9,1,0.0001,0.0051,-0.0115,0.0002,,,,,,
1944,10,1,0.0016,-0.0013,-0.0042,0.0003,,,,,,
1944,11,1,0.0171,0.003,0.0219,0.0003,,,,,,
1944,12,1,0.0404,0.0226,0.0598,0.0002,,,,,,
1945,1,1,0.02,0.025,0.0094,0.0003,,,,,,
1945,2,1,0.0622,0.0152,0.044,0.0002,,,,,,
1945,3,1,-0.0389,-0.0159,-0.0182,0.0002,,,,,,
1945,4,1,0.0778,0.0035,0.0325,0.0003,,,,,,
1945,5,1,0.0175,0.0156,0.0043,0.0003,,,,,,
1945,6,1,0.0039,0.0302,0.0437,0.0002,,,,,,
1945,7,1,-0.0216,-0.0156,-0.0273,0.0003,,,,,,
1945,8,1,0.0616,0.0157,-0.0442,0.0003,,,,,,
1945,9,1,0.0476,0.0177,0.0007,0.0003,,,,,,
1945,10,1,0.0391,0.0237,0.023,0.0003,,,,,,
1945,11,1,0.0538,0.0434,0.0428,0.0002,,,,,,
1945,12,1,0.0119,0.0219,-0.0225,0.0003,,,,,,
1946,1,1,0.0624,0.0404,0.0231,0.0003,,,,,,
1946,2,1,-0.0583,-0.008,-0.015,0.0003,,,,,,
1946,3,1,0.0584,0.0047,-0.0039,0.0003,,,,,,
1946,4,1,0.0424,0.0236,0.0018,0.0003,,,,,,
1946,5,1,0.0392,0.0166,0.0107,0.0003,,,,,,
1946,6,1,-0.0388,-0.0158,-0.0048,0.0003,,,,,,
1946,7,1,-0.0269,-0.0199,0.0021,0.0003,,,,,,
1946,8,1,-0.0643,-0.0173,0.0049,0.0003,,,,,,
1946,9,1,-0.1016,-0.0442,-0.02,0.0003,,,,,,
1946,10,1,-0.0142,0.0008,0.0329,0.0003,,,,,,
1946,11,1,-0.0002,-0.004,0.0115,0.0003,,,,,,
1946,12,1,0.0496,0,-0.0133,0.0003,,,,,,
1947,1,1,0.0125,0.0195,-0.006,0.0003,,,,,,
1947,2,1,-0.0106,0.0075,0.0015,0.0003,,,,,,
1947,3,1,-0.0167,-0.016,0.005,0.0003,,,,,,
1947,4,1,-0.048,-0.0388,0.0072,0.0003,,,,,,
1947,5,1,-0.0097,-0.0333,0.0016,0.0003,,,,,,
1947,6,1,0.0528,-0.0033,-0.0051,0.0003,,,,,,
1947,7,1,0.0414,0.0143,0.0283,0.0003,,,,,,
1947,8,1,-0.0174,0.0029,0.001,0.0003,,,,,,
1947,9,1,-0.0054,0.0158,0.0147,0.0006,,,,,,
1947,10,1,0.0247,0.0056,0.0004,0.0006,,,,,,
1947,11,1,-0.0198,-0.0171,0.0109,0.0006,,,,,,
1947,12,1,0.03,-0.0251,0.0382,0.0008,,,,,,
1948,1,1,-0.0393,0.0247,0.0126,0.0007,,,,,,
1948,2,1,-0.0438,-0.0169,0.0002,0.0007,,,,,,
1948,3,1,0.0807,0.0015,0.0456,0.0009,,,,,,
1948,4,1,0.0365,-0.0168,0.0409,0.0008,,,,,,
1948,5,1,0.073,0.009,-0.0118,0.0008,,,,,,
1948,6,1,-0.001,-0.0184,0.0269,0.0009,,,,,,
1948,7,1,-0.0509,-0.0035,0.0009,0.0008,,,,,,
1948,8,1,0.0025,-0.011,0.0024,0.0009,,,,,,
1948,9,1,-0.0296,-0.0126,-0.0178,0.0004,,,,,,
1948,10,1,0.0596,-0.0152,0.006,0.0004,,,,,,
1948,11,1,-0.0929,-0.0052,-0.0435,0.0004,,,,,,
1948,12,1,0.0325,-0.0283,-0.0186,0.0004,,,,,,
1949,1,1,0.0023,0.0164,0.0134,0.001,,,,,,
1949,2,1,-0.0293,-0.0186,-0.0089,0.0009,,,,,,
1949,3,1,0.0404,0.0232,0.0151,0.001,,,,,,
1949,4,1,-0.0186,-0.0097,-0.0106,0.0009,,,,,,
1949,5,1,-0.0295,-0.0076,-0.0243,0.001,,,,,,
1949,6,1,0.001,-0.0084,-0.0168,0.001,,,,,,
1949,7,1,0.0553,0.0058,0.0039,0.0009,,,,,,
1949,8,1,0.0259,0.0018,-0.0044,0.0009,,,,,,
1949,9,1,0.0309,0.0099,0.0016,0.0009,,,,,,
1949,10,1,0.0314,0.0102,-0.0046,0.0009,,,,,,
1949,11,1,0.0182,-0.0096,-0.0087,0.0008,,,,,,
1949,12,1,0.0513,0.0208,0.0165,0.0009,,,,,,
1950,1,1,0.017,0.0334,0.0016,0.0009,,,,,,
1950,2,1,0.0148,0.0007,-0.0078,0.0009,,,,,,
1950,3,1,0.0126,-0.0141,-0.0281,0.001,,,,,,
1950,4,1,0.0394,0.0188,0.0133,0.0009,,,,,,
1950,5,1,0.0431,-0.0209,0.0039,0.001,,,,,,
1950,6,1,-0.0594,-0.0237,-0.0075,0.001,,,,,,
1950,7,1,0.0137,0.0058,0.1352,0.001,,,,,,
1950,8,1,0.0486,0.0078,-0.0149,0.001,,,,,,
1950,9,1,0.048,0.005,-0.0096,0.001,,,,,,
1950,10,1,-0.0018,-0.0052,0.0143,0.0012,,,,,,
1950,11,1,0.0276,-0.0089,0.0321,0.0011,,,,,,
1950,12,1,0.0554,0.015,0.0722,0.0011,,,,,,
1951,1,1,0.057,0.0173,0.0374,0.0013,,,,,,
1951,2,1,0.0141,0.0017,-0.0288,0.001,,,,,,
1951,3,1,-0.0215,-0.0067,-0.0417,0.0011,,,,,,
1951,4,1,0.0486,-0.015,0.0324,0.0013,,,,,,
1951,5,1,-0.0234,0.0004,-0.014,0.0012,,,,,,
1951,6,1,-0.0262,-0.0196,-0.0397,0.0012,,,,,,
1951,7,1,0.0694,-0.0191,0.0194,0.0013,,,,,,
1951,8,1,0.0427,0.0084,0.0025,0.0013,,,,,,
1951,9,1,0.007,0.02,0.0074,0.0012,,,,,,
1951,10,1,-0.0253,-0.0038,0.0013,0.0016,,,,,,
1951,11,1,0.0057,-0.0032,0.0037,0.0011,,,,,,
1951,12,1,0.0333,-0.0208,-0.0195,0.0012,,,,,,
1952,1,1,0.0145,-0.0074,0.0187,0.0015,,,,,,
