year,Inflation ,Stocks_US,Stocks_US_largeCap,Stocks_US_largeCap_value,Stocks_US_largeCap_growth,Stocks_US_midCap,Stocks_US_midCap_value,Stocks_US_midCap_growth,Stocks_US_smallCap,Stocks_US_smallCap_value,Stocks_US_smallCap_growth,Stocks_US_microCap,Stocks_Global_exUS,Stocks_intDeveloped_exUS,Stocks_int_exUS_smallCap,Stocks_int_exUS_value,Stocks_Europe,Stocks_Pacific,Stocks_emergingMarkets,Cash ,Treasury_shortTerm,Treasury_intermediateTerm,Treasury_10y,Treasury_longTerm,Bonds_totalUS,TIPS ,Bonds_global_unhedgeg,Bonds_global_USDhedged,InvestmentGrade_shortTerm,Bonds_Corporate,Bonds_Corporate_longTerm,Bonds_Corporate_highYield,ShortTerm_taxExempt,IntermediateTerm_taxExempt,LongTerm_taxExempt,REIT ,Gold ,Precious_Metals ,Commodities
1982,0.0383,0.205,0.2097,0.2508,0.2033,0.2521,0.2936,0.2052,0.2927,0.3687,0.2236,0.2791, , , , , , , ,0.1145,0.2212,0.3113,0.3957,0.471, , , , , , ,0.2868,0.2709,0.1015,0.3107,0.3856, ,0.1494, ,
1983,0.0379,0.2266,0.2129,0.2544,0.1692,0.2711,0.3269,0.2232,0.3164,0.4261,0.2054,0.397, , , , , , , ,0.0903,0.08,0.0522,0.023,-0.0129, , , , ,0.0911, ,0.0698,0.1587,0.0506,0.0648,0.0949, ,-0.1631, ,
1984,0.0395,0.0219,0.0621,0.1143,0.0156,-0.0174,0.0254,-0.057,-0.0426,0.0569,-0.1351,-0.0651, , , , , , , ,0.1017,0.1401,0.1501,0.1487,0.1624, , , , ,0.1423, ,0.1467,0.0774,0.068,0.0953,0.0855, ,-0.1938, ,
1985,0.038,0.3127,0.3123,0.3293,0.3357,0.3279,0.3231,0.3313,0.337,0.3746,0.3117,0.244, , , , , , , ,0.0788,0.1383,0.2224,0.2985,0.369, , , , ,0.149, ,0.2166,0.2199,0.0695,0.1733,0.2077, ,0.06,-0.0503,
1986,0.011,0.1457,0.1806,0.197,0.1696,0.1712,0.1813,0.1601,0.0977,0.1399,0.0571,0.069,0.6338,0.6338, , ,0.4096,0.838, ,0.0628,0.1035,0.151,0.2135,0.3087, , , , ,0.1142, ,0.1434,0.1686,0.0739,0.1621,0.1938, ,0.1896,0.4988,
1987,0.0443,0.0261,0.0471,0.0211,0.0644,0.0084,-0.0098,0.0264,-0.0642,-0.0351,-0.091,-0.0936,0.3048,0.3048, , ,0.0706,0.4355, ,0.0593,0.0478,0.0155,-0.0264,-0.0292,0.0154, , , ,0.0445, ,0.002,0.0265,0.0411,0.0164,-0.0425, ,0.2453,0.3873,
1988,0.0442,0.1732,0.1622,0.2016,0.1321,0.1944,0.2496,0.1437,0.2378,0.29,0.1842,0.2284,0.2566,0.2566, , ,0.1369,0.3052, ,0.068,0.0567,0.0526,0.069,0.0915,0.0735, , , ,0.0695, ,0.097,0.1356,0.0561,0.1,0.1224, ,-0.1526,-0.1419,
1989,0.0465,0.2812,0.3136,0.2689,0.3583,0.26,0.2492,0.2709,0.1941,0.1921,0.1962,0.1016,0.1285,0.1285, , ,0.2818,0.0723, ,0.0861,0.1148,0.1452,0.1784,0.1793,0.1364, , , ,0.1145, ,0.1518,0.0189,0.0708,0.1,0.0979, ,-0.0284,0.304,
1990,0.0611,-0.0608,-0.0332,-0.0702,0.0154,-0.1073,-0.1675,-0.0402,-0.1813,-0.1905,-0.1426,-0.2156,-0.2479,-0.2479, , ,-0.0387,-0.3387, ,0.0789,0.0992,0.0946,0.077,0.0578,0.0865, , , ,0.0923, ,0.0621,-0.0585,0.0657,0.072,0.0502, ,-0.0311,-0.1986,
1991,0.0306,0.3239,0.3022,0.2378,0.4461,0.4044,0.4156,0.3935,0.4526,0.4296,0.4922,0.4426,0.0948,0.0948, , ,0.124,0.1078, ,0.0571,0.1149,0.1597,0.1891,0.1743,0.1525, , , ,0.1308, ,0.209,0.2901,0.072,0.1216,0.1147, ,-0.0856,0.0437,
1992,0.029,0.0911,0.0742,0.1548,0.0661,0.1519,0.195,0.1079,0.182,0.2823,0.1018,0.2348,-0.1479,-0.1479, , ,-0.0332,-0.1817, ,0.0357,0.0675,0.0778,0.0723,0.0741,0.0714, ,0.0084, ,0.0719, ,0.0978,0.1424,0.0471,0.0886,0.093, ,-0.0573,-0.1941,
1993,0.0275,0.1062,0.0989,0.1826,0.0153,0.162,0.1718,0.1507,0.187,0.211,0.1125,0.2097,0.2992,0.2992, , ,0.2913,0.3546, ,0.0305,0.0631,0.1143,0.1297,0.1678,0.0968, ,0.1461, ,0.0707, ,0.1449,0.1824,0.0382,0.1155,0.1345, ,0.1768,0.9336,
1994,0.0267,-0.0017,0.0118,-0.0063,0.0289,-0.0172,-0.0303,-0.006,-0.0051,-0.0007,-0.0363,0.0309,0.0976,0.0976, , ,0.0188,0.1304, ,0.042,-0.0048,-0.0433,-0.0719,-0.0704,-0.0266, ,-0.0872, ,-0.0008, ,-0.053,-0.0171,0.0163,-0.0212,-0.0576,-0.084,-0.0217,-0.0542,
1995,0.0254,0.3579,0.3745,0.3704,0.3806,0.3322,0.3338,0.3291,0.2874,0.3032,0.3007,0.3448,0.0398,0.0398,0.0116,0.1153,0.2228,0.0275,0.0056,0.0571,0.1211,0.2044,0.2555,0.3009,0.1818, ,0.2391, ,0.1274, ,0.264,0.1915,0.0599,0.1364,0.1872,0.1213,0.0098,-0.0448,
1996,0.0332,0.2096,0.2288,0.218,0.2374,0.1897,0.2015,0.1748,0.1812,0.2141,0.1024,0.1765,0.0468,0.0468,0.0095,0.0781,0.2125,-0.0782,0.1583,0.0517,0.0439,0.0192,0,-0.0126,0.0358, ,0.1502, ,0.0479, ,0.012,0.0955,0.0369,0.042,0.0442,0.3384,-0.0459,-0.0075,
1997,0.017,0.3099,0.3319,0.2978,0.3634,0.2566,0.3508,0.1775,0.2459,0.3544,0.1437,0.2278,-0.0077,-0.0139,-0.2272,-0.0314,0.2423,-0.2567,-0.1682,0.0522,0.0651,0.0896,0.1197,0.139,0.0944, ,0.0231, ,0.0695, ,0.1378,0.1191,0.0407,0.0706,0.0929,0.1877,-0.2141,-0.3892,
1998,0.0161,0.2326,0.2862,0.1463,0.4221,0.099,0.0367,0.1727,-0.0261,-0.0268,0.0352,-0.0181,0.156,0.1651,0.0527,0.1487,0.2886,0.0241,-0.1812,0.0497,0.0736,0.1061,0.1464,0.1305,0.0858, ,0.1059, ,0.0657, ,0.0921,0.0562,0.0432,0.0576,0.0602,-0.1632,-0.0083,-0.0391,
1999,0.0268,0.2381,0.2107,0.1258,0.2876,0.1532,0.0312,0.4299,0.2313,0.0335,0.198,0.3149,0.2992,0.3796,0.1904,0.163,0.1666,0.5705,0.6157,0.0477,0.0185,-0.0352,-0.0783,-0.0866,-0.0076, ,0.0382,0.0029,0.0331, ,-0.0623,0.0249,0.0258,-0.005,-0.0353,-0.0404,0.0085,0.2882,
2000,0.0339,-0.1057,-0.0906,0.0609,-0.2221,0.181,0.198,-0.0628,-0.0267,0.2188,0.0159,0.0067,-0.1561,-0.1429,-0.0308,-0.0016,-0.0821,-0.2574,-0.2756,0.0599,0.0883,0.1403,0.1728,0.1972,0.1139, ,-0.0034,0.092,0.0817, ,0.1176,-0.0088,0.0491,0.0924,0.1332,0.2635,-0.0544,-0.0734,
2001,0.0155,-0.1097,-0.1202,-0.1186,-0.1293,-0.005,-0.0084,-0.0602,0.031,0.137,-0.0078,0.2398,-0.2015,-0.2194,-0.0459,-0.1526,-0.203,-0.2634,-0.0288,0.037,0.078,0.0755,0.054,0.0431,0.0843,0.0761,0.0511,0.1083,0.0814, ,0.0957,0.029,0.0475,0.0505,0.0454,0.1235,0.0075,0.1833,
2002,0.0238,-0.2096,-0.2215,-0.2088,-0.2368,-0.1461,-0.1295,-0.2122,-0.2002,-0.142,-0.1541,0.049,-0.1508,-0.1562,0.0579,-0.0852,-0.1795,-0.0932,-0.0743,0.0165,0.0802,0.1415,0.1545,0.1667,0.0826,0.1661,0.2039,0.0929,0.0522, ,0.1322,0.0173,0.0349,0.0791,0.1012,0.0375,0.2557,0.3335,
2003,0.0188,0.3135,0.285,0.3225,0.2592,0.3414,0.3794,0.3559,0.4563,0.3719,0.4288,0.8098,0.4034,0.3867,0.6648,0.4993,0.387,0.3842,0.5765,0.0104,0.0238,0.0237,0.0015,0.0268,0.0397,0.08,0.2125,0.0393,0.042,0.0908,0.0626,0.172,0.0164,0.0446,0.0521,0.3566,0.1989,0.5945,
2004,0.0326,0.1252,0.1074,0.1526,0.072,0.2035,0.2604,0.13,0.199,0.2355,0.1606,0.1909,0.2084,0.2025,0.348,0.288,0.2086,0.1883,0.2612,0.0132,0.0103,0.034,0.045,0.0712,0.0424,0.0827,0.098,0.0611,0.0211,0.0572,0.0894,0.0852,0.0112,0.0323,0.0412,0.3076,0.0465,0.0809,
2005,0.0342,0.0598,0.0477,0.071,0.0509,0.1393,0.1602,0.0811,0.0736,0.0607,0.0864,0.0408,0.1557,0.136,0.2323,0.1527,0.0926,0.2259,0.3205,0.0314,0.0177,0.0231,0.0301,0.0661,0.024,0.0259,-0.0434,0.0498,0.022,0.0116,0.0513,0.0277,0.0165,0.0224,0.0307,0.1189,0.1776,0.4379,
2006,0.0254,0.1551,0.1564,0.2213,0.0901,0.136,0.1477,0.1179,0.1566,0.1924,0.1195,0.1148,0.2664,0.2627,0.2839,0.3034,0.3342,0.1199,0.2939,0.0482,0.0377,0.0314,0.0219,0.0174,0.0427,0.0043,0.0824,0.0294,0.0499,0.0422,0.0286,0.0824,0.0326,0.0443,0.0516,0.3507,0.2255,0.343,
2007,0.0408,0.0549,0.0539,0.0008,0.1256,0.0602,-0.0437,0.173,0.0116,-0.0707,0.0963,-0.054,0.1552,0.1115,0.0295,0.0423,0.1382,0.0478,0.389,0.0456,0.0789,0.0998,0.1042,0.0924,0.0692,0.1159,0.0844,0.0499,0.0586,0.0373,0.0375,0.0204,0.0419,0.0343,0.0254,-0.1646,0.3045,0.3613,0.3162
2008,0.0009,-0.3704,-0.3702,-0.3597,-0.3832,-0.4182,-0.3664,-0.4707,-0.3607,-0.3205,-0.4,-0.3949,-0.441,-0.4127,-0.4168,-0.4167,-0.4473,-0.3436,-0.5281,0.0153,0.0668,0.1332,0.2053,0.2251,0.0505,-0.0285,-0.0856,-0.0235,-0.0474,0.024,0.0229,-0.2129,0.0374,-0.0014,-0.0487,-0.3705,0.0492,-0.5602,-0.4575
2009,0.0272,0.287,0.2649,0.1958,0.3629,0.4022,0.3761,0.4254,0.3612,0.3034,0.4185,0.2596,0.3673,0.2827,0.4752,0.2836,0.3191,0.2118,0.7598,0.0016,0.0144,-0.0169,-0.1017,-0.1206,0.0593,0.108,0.2275,0.153,0.1403,0.0846,0.0875,0.3909,0.0307,0.1022,0.1408,0.2958,0.2403,0.7646,0.1122
2010,0.015,0.1709,0.1491,0.1427,0.1696,0.2546,0.2163,0.2893,0.2772,0.2482,0.3069,0.2486,0.1112,0.0836,0.256,0.0447,0.0491,0.1577,0.1886,0.0014,0.0263,0.0735,0.0792,0.0893,0.0642,0.0617,0.08,0.0853,0.0521,0.0933,0.1071,0.124,0.0095,0.0213,0.015,0.283,0.2927,0.3745,0.0717
2011,0.0296,0.0096,0.0197,0.01,0.0171,-0.0211,-0.0044,-0.0384,-0.028,-0.0416,-0.0158,-0.0786,-0.1456,-0.1251,-0.1963,-0.1242,-0.116,-0.14,-0.1878,0.0007,0.0226,0.0979,0.1624,0.2928,0.0756,0.1323,0.0378,0.086,0.0193,0.0973,0.1718,0.0713,0.016,0.0962,0.1069,0.0847,0.0957,-0.217,-0.0328
2012,0.0174,0.1625,0.1582,0.15,0.1689,0.158,0.1591,0.1581,0.1804,0.1856,0.1752,0.1983,0.1814,0.1856,0.2073,0.1883,0.208,0.1549,0.1864,0.0008,0.0069,0.0267,0.0273,0.0346,0.0405,0.0677,0.0804,0.0954,0.0452,0.1058,0.1166,0.1436,0.0099,0.057,0.0808,0.1753,0.066,-0.1298,-0.0058
2013,0.015,0.3335,0.3218,0.3287,0.3216,0.35,0.3742,0.3202,0.3762,0.3641,0.3798,0.5091,0.1504,0.2206,0.166,0.2184,0.247,0.1736,-0.0519,0.0005,-0.001,-0.0309,-0.0857,-0.1303,-0.0226,-0.0892,-0.0274,-0.0081,0.0097,-0.02,-0.0587,0.0454,0.0048,-0.0156,-0.0295,0.0231,-0.2833,-0.3513,-0.0183
2014,0.0076,0.1243,0.1351,0.1307,0.1347,0.136,0.1384,0.1335,0.0737,0.1039,0.0388,0.0461,-0.0424,-0.0566,-0.0506,-0.068,-0.0667,-0.0469,0.0042,0.0003,0.0071,0.0432,0.1063,0.2527,0.0576,0.0383,0.0034,0.097,0.0176,0.0821,0.1817,0.0458,0.0065,0.0725,0.1107,0.3013,-0.0219,-0.1141,-0.3296
2015,0.0073,0.0029,0.0125,-0.0104,0.0317,-0.0145,-0.0191,-0.0113,-0.0378,-0.0477,-0.0264,-0.0828,-0.0438,-0.0019,-0.0001,-0.0586,-0.02,0.0225,-0.1547,0.0005,0.0045,0.015,0.0112,-0.0154,0.003,-0.0183,-0.0505,0,0.0103,-0.0125,-0.022,-0.014,0.0045,0.0285,0.0397,0.0222,-0.1067,-0.2942,-0.3406
2016,0.0207,0.1253,0.1182,0.1675,0.0599,0.1107,0.1511,0.0662,0.1817,0.2465,0.1061,0.2147,0.0465,0.0245,0.0426,0.0505,-0.008,0.0519,0.115,0.003,0.01,0.0119,0.01,0.0121,0.025,0.0452,0.0361,0.0617,0.0275,0.0621,0.0783,0.1119,0.0036,0.0008,0.0062,0.0834,0.0803,0.5064,0.1012
2017,0.0211,0.2105,0.2167,0.1699,0.2765,0.1912,0.1691,0.2172,0.161,0.1167,0.2178,0.1247,0.274,0.264,0.306,0.2125,0.2682,0.2839,0.3115,0.0088,0.004,0.0158,0.0239,0.0859,0.0345,0.0281,0.0887,0.0432,0.0203,0.0706,0.1194,0.0702,0.01,0.0454,0.0643,0.0483,0.1281,0.1375,0.0389
2018,0.0191,-0.0526,-0.0453,-0.0555,-0.0346,-0.0934,-0.1253,-0.0574,-0.0943,-0.1234,-0.058,-0.1712,-0.1444,-0.1446,-0.1847,-0.1466,-0.1486,-0.1398,-0.1471,0.019,0.0135,0.01,0.0099,-0.019,-0.0013,-0.0149,-0.0249,-0.0046,0.0086,-0.0379,-0.0595,-0.0296,0.0159,0.0125,0.009,-0.0611,-0.0194,-0.0879,-0.1388
2019,0.0229,0.3065,0.3133,0.2567,0.3708,0.3086,0.2782,0.3372,0.2722,0.2261,0.326,0.1534,0.2143,0.2205,0.2136,0.1578,0.2406,0.1742,0.2013,0.0213,0.0359,0.0629,0.0803,0.1413,0.0861,0.0806,0.0682,0.0676,0.0574,0.1737,0.2041,0.1579,0.0238,0.0678,0.0849,0.2878,0.1786,0.3979,0.1562
2020,0.0136,0.2087,0.1825,0.0218,0.4001,0.181,0.0241,0.3432,0.1896,0.0572,0.351,0.2553,0.1116,0.1026,0.1184,-0.0297,0.063,0.1637,0.1505,0.0044,0.0396,0.0821,0.1001,0.1829,0.0761,0.109,0.1349,0.0731,0.0515,0.1097,0.1536,0.0528,0.0182,0.0513,0.0621,-0.0478,0.2481,0.2366,-0.2394
2021,0.0704,0.2559,0.2855,0.2631,0.271,0.2436,0.2859,0.2032,0.1759,0.2796,0.0558,0.2231,0.0861,0.1143,0.1307,0.1087,0.1619,0.0136,0.0073,0.0004,-0.0087,-0.0229,-0.0333,-0.0473,-0.0177,0.0556,-0.0493,-0.0053,-0.0043,-0.0185,-0.0238,0.0368,0.0017,0.011,0.0226,0.4019,-0.0415,-0.0952,0.3877
2022,0.0623,-0.1727,-0.1623,-0.0734,-0.2527,-0.1732,-0.0888,-0.2538,-0.1569,-0.0983,-0.237,-0.1712,-0.1868,-0.1969,-0.2193,-0.1362,-0.2329,-0.17,-0.154,0.006,-0.0375,-0.0826,-0.1149,-0.2251,-0.1093,-0.0749,-0.1653,-0.0566,-0.0551,-0.1623,-0.217,-0.0985,-0.0133,-0.0737,-0.1059,-0.1891,-0.0684,-0.2569,0.3004
