date,close_price
2019-01-01,3717.58
2019-01-02,3885.83
2019-01-03,3791.30
2019-01-04,3831.29
2019-01-05,3835.61
2019-01-06,4055.00
2019-01-07,4009.00
2019-01-08,3995.62
2019-01-09,3999.29
2019-01-10,3627.60
2019-01-11,3649.78
2019-01-12,3628.41
2019-01-13,3517.41
2019-01-14,3662.42
2019-01-15,3568.13
2019-01-16,3602.51
2019-01-17,3624.11
2019-01-18,3611.63
2019-01-19,3702.91
2019-01-20,3518.43
2019-01-21,3520.42
2019-01-22,3573.59
2019-01-23,3544.82
2019-01-24,3570.91
2019-01-25,3556.64
2019-01-26,3557.12
2019-01-27,3550.38
2019-01-28,3416.04
2019-01-29,3402.05
2019-01-30,3431.63
2019-01-31,3416.81
2019-02-01,3441.80
2019-02-02,3431.40
2019-02-03,3417.09
2019-02-04,3416.15
2019-02-05,3422.40
2019-02-06,3366.55
2019-02-07,3357.84
2019-02-08,3595.69
2019-02-09,3716.80
2019-02-10,3606.31
2019-02-11,3682.30
2019-02-12,3577.30
2019-02-13,3572.13
2019-02-14,3571.50
2019-02-15,3562.30
2019-02-16,3595.74
2019-02-17,3574.54
2019-02-18,3851.98
2019-02-19,3984.70
2019-02-20,3910.95
2019-02-21,3899.56
2019-02-22,3941.06
2019-02-23,4105.94
2019-02-24,3861.90
2019-02-25,3804.80
2019-02-26,3786.90
2019-02-27,3748.91
2019-02-28,3798.44
2019-03-01,3827.18
2019-03-02,3909.90
2019-03-03,3893.00
2019-03-04,3702.48
2019-03-05,3937.60
2019-03-06,3945.10
2019-03-07,3871.00
2019-03-08,3868.30
2019-03-09,3889.77
2019-03-10,3882.52
2019-03-11,3942.30
2019-03-12,3961.90
2019-03-13,3851.92
2019-03-14,3949.30
2019-03-15,3895.21
2019-03-16,4081.20
2019-03-17,3959.73
2019-03-18,4075.90
2019-03-19,3992.08
2019-03-20,4107.60
2019-03-21,3976.24
2019-03-22,3984.00
2019-03-23,3973.29
2019-03-24,4049.50
2019-03-25,3886.53
2019-03-26,3911.86
2019-03-27,4080.70
2019-03-28,4010.36
2019-03-29,4071.96
2019-03-30,4076.43
2019-03-31,4165.60
2019-04-01,4127.67
2019-04-02,4801.30
2019-04-03,5280.50
2019-04-04,4894.70
2019-04-05,4997.37
2019-04-06,5081.90
2019-04-07,5119.77
2019-04-08,5255.67
2019-04-09,5221.00
2019-04-10,5300.29
2019-04-11,5052.69
2019-04-12,5042.92
2019-04-13,5081.71
2019-04-14,5108.64
2019-04-15,5026.80
2019-04-16,5184.91
2019-04-17,5214.91
2019-04-18,5308.57
2019-04-19,5268.82
2019-04-20,5314.51
2019-04-21,5244.69
2019-04-22,5371.00
2019-04-23,5610.00
2019-04-24,5435.20
2019-04-25,5495.47
2019-04-26,5146.60
2019-04-27,5229.60
2019-04-28,5215.50
2019-04-29,5130.12
2019-04-30,5236.75
2019-05-01,5307.75
2019-05-02,5403.73
2019-05-03,5696.88
2019-05-04,5685.85
2019-05-05,5709.66
2019-05-06,5693.33
2019-05-07,5844.02
2019-05-08,5898.64
2019-05-09,6079.75
2019-05-10,6289.25
2019-05-11,6944.60
2019-05-12,7071.89
2019-05-13,7801.10
2019-05-14,7719.90
2019-05-15,8172.00
2019-05-16,7667.00
2019-05-17,7098.66
2019-05-18,7295.40
2019-05-19,7978.04
2019-05-20,8000.75
2019-05-21,8064.40
2019-05-22,7822.30
2019-05-23,7875.32
2019-05-24,8113.66
2019-05-25,8047.73
2019-05-26,8016.10
2019-05-27,8753.38
2019-05-28,8680.83
2019-05-29,8674.00
2019-05-30,8463.00
2019-05-31,8498.91
2019-06-01,8685.90
2019-06-02,8498.91
2019-06-03,8525.90
2019-06-04,7650.00
2019-06-05,7730.98
2019-06-06,7682.25
2019-06-07,7887.70
2019-06-08,7874.80
2019-06-09,7712.12
2019-06-10,7937.30
2019-06-11,7915.20
2019-06-12,8120.16
2019-06-13,8259.25
2019-06-14,8454.50
2019-06-15,8799.26
2019-06-16,9035.70
2019-06-17,9267.97
2019-06-18,9141.63
2019-06-19,9162.50
2019-06-20,9557.07
2019-06-21,9940.00
2019-06-22,10611.68
2019-06-23,11129.00
2019-06-24,10850.13
2019-06-25,11359.41
2019-06-26,12706.00
2019-06-27,10668.76
2019-06-28,12218.25
2019-06-29,12167.00
2019-06-30,11383.54
2019-07-01,10509.50
2019-07-02,10698.70
2019-07-03,11380.03
2019-07-04,11710.80
2019-07-05,11027.50
2019-07-06,11457.74
2019-07-07,11500.70
2019-07-08,12206.28
2019-07-09,12405.11
2019-07-10,11775.27
2019-07-11,11138.40
2019-07-12,11900.25
2019-07-13,10908.44
2019-07-14,10640.00
2019-07-15,10847.00
