date,Mkt-RF,SMB,HML,RF,CAC40,Accor,AirLiquide,Airbus,ArcelorMittal,AXA,BNP-Paribas,Bouygues,Capgemini,Carrefour,CompagnieSaintGobain,Michelin,CreditAgricole,Danone,ENGIE,Essilor,Kering,Klepierre,LOreal,Lafarge,Legrand,LVMH,Nokia,Orange,PernodRicard,Peugeot,PublicisGroupe,Renault,Safran,Sanofi,SchneiderElectric,SocieteGenerale,Sodexo,Solvay,Technip,Total,UnibailRodamco,Valeo,Veolia,VINCI,Vivendi
2001-02,-0.09330,-0.01060,0.05840,0.00420,-0.10519,-0.13232,0.01919,-0.02174,0.01389,-0.07172,-0.10664,-0.16882,-0.08900,-0.05086,-0.04926,0.01220,,0.05845,,-0.00597,-0.02665,0.04228,-0.01807,,,-0.05050,-0.37247,-0.34844,-0.05063,0.07555,0.00838,0.07551,-0.08468,-0.04685,-0.04570,-0.08155,-0.00957,0.00864,0.03478,-0.03155,0.06145,0.15194,0.07856,0.10084,-0.15569
2001-03,0.07380,-0.03740,-0.03230,0.00390,-0.03485,-0.00328,0.07196,-0.06622,-0.12877,-0.08236,0.07320,-0.10356,-0.31723,-0.02600,-0.01506,-0.11108,,-0.04325,,-0.02402,-0.11000,-0.05943,-0.05644,,,-0.14607,0.12836,0.02550,0.01133,-0.02613,-0.04432,-0.01884,-0.22467,0.07119,-0.07042,0.05342,0.08116,-0.00428,0.02650,0.00000,-0.05737,-0.11552,0.07958,0.06870,0.00364
2001-04,-0.05050,0.02700,0.04120,0.00320,0.08871,0.12573,0.06524,-0.02427,0.01887,0.05639,0.05142,0.26895,0.25308,0.05259,0.03976,0.01410,,0.01878,,-0.00615,-0.00462,0.01304,0.06697,,,0.22105,0.38885,0.23587,0.03032,0.12160,0.10145,0.01134,0.04545,0.06962,0.16591,0.03857,-0.00804,-0.00258,0.10516,0.09446,-0.00056,0.01365,-0.00584,-0.05714,0.13362
2001-05,-0.03630,-0.01020,0.06360,0.00280,-0.03295,0.00480,-0.03180,0.13268,0.26235,0.00752,0.02295,-0.09892,-0.16452,-0.00846,0.03471,0.09890,,0.05119,,-0.01238,0.05616,0.03564,-0.06764,,,-0.03736,-0.08084,-0.20732,0.03647,0.01553,-0.02368,-0.04832,-0.08261,0.07249,-0.07732,-0.03370,-0.10396,-0.04397,-0.00285,0.02321,0.05307,-0.01923,0.01904,0.04015,-0.03523
2001-06,-0.00670,-0.02270,0.03940,0.00300,-0.04196,0.03574,0.03224,-0.06331,-0.04645,0.00448,0.00293,-0.08124,-0.36811,-0.03101,-0.08755,-0.09098,,0.05260,,0.05956,-0.16585,0.00382,-0.00327,,,-0.11194,-0.23559,-0.13385,0.02222,-0.01897,-0.22911,-0.03354,-0.31280,0.06897,-0.08028,-0.00427,0.13250,0.05500,-0.13429,-0.03781,0.02016,-0.06490,-0.01173,0.09614,-0.08566
2001-07,-0.02050,0.02110,0.04040,0.00310,-0.02676,-0.07723,-0.05127,0.04368,-0.05128,-0.00594,-0.03405,-0.03557,-0.07849,0.03280,0.04984,-0.07064,,-0.08081,,0.00473,-0.01228,0.00000,0.08787,,,0.01681,-0.03695,-0.06483,0.00242,0.01029,-0.03846,-0.02720,-0.03707,-0.07355,-0.06585,-0.09078,0.05984,0.04444,0.02310,-0.01693,-0.02808,0.07465,-0.02434,-0.02591,-0.02687
2001-08,-0.11540,-0.05320,0.02410,0.00280,-0.07790,-0.06304,-0.03416,-0.17093,-0.37838,-0.10164,0.01712,-0.03403,-0.11420,-0.09295,0.00297,-0.00806,,0.00470,,-0.03004,-0.12256,-0.01810,-0.10066,,,-0.11653,-0.31804,-0.32877,0.01145,-0.02870,-0.05091,-0.12343,-0.08415,0.00348,0.00000,0.01887,-0.09324,0.03110,0.05032,0.00062,-0.03852,-0.04195,-0.03567,-0.04775,-0.10149
2001-09,0.03240,0.01820,-0.03260,0.00220,-0.13015,-0.27610,-0.00965,-0.37035,-0.34783,-0.27887,-0.11089,-0.23797,-0.16738,-0.09650,-0.10651,-0.15965,,-0.04476,,-0.07256,-0.18286,-0.06887,0.01475,,,-0.34705,0.03828,-0.02037,-0.04407,-0.22021,-0.29119,-0.29593,-0.15054,-0.00763,-0.34426,-0.15432,-0.12264,-0.09206,-0.14988,-0.09342,-0.09015,-0.29430,-0.09087,-0.07593,-0.15532
2001-10,0.04050,0.01910,-0.01230,0.00170,0.06430,0.11763,-0.02727,0.08861,-0.40000,0.12137,0.02895,0.19972,0.06929,0.07467,0.02318,0.18584,,-0.10140,,0.01768,0.05615,0.07292,0.01321,,,0.12235,0.28436,0.19786,-0.03115,0.10391,0.32973,0.05781,0.19102,0.02448,0.11200,0.01369,0.12473,0.04458,-0.09249,0.05763,0.05596,0.09668,0.00447,0.03876,0.02065
2001-11,0.01820,-0.01840,0.01410,0.00150,0.03104,0.06108,0.05808,0.03411,0.66667,0.00412,0.06061,0.13235,0.14560,0.01759,0.05437,0.06408,,0.00467,,0.05179,0.14855,0.03883,0.00196,,,0.15726,0.12266,0.06342,0.06109,0.04718,0.13455,0.13471,0.18744,0.05666,0.14883,0.09451,-0.12600,0.06946,0.04697,-0.08654,-0.00608,0.11184,-0.04004,-0.06418,0.10116
