"Index","N100.Open","N100.High","N100.Low","N100.Close","N100.Volume","N100.Adjusted"
"2014-12-31",835.260009765625,839.640014648438,835.260009765625,839.52001953125,161131500,839.52001953125
"2015-01-02",843.030029296875,845.97998046875,830.799987792969,835.969970703125,333050000,835.969970703125
"2015-01-05",831.090026855469,841.47998046875,810.869995117188,811.789978027344,698226400,811.789978027344
"2015-01-06",813.609985351562,817.239990234375,803.650024414062,805.469970703125,577022100,805.469970703125
"2015-01-07",810.650024414062,816.27001953125,805.280029296875,810.940002441406,463361300,810.940002441406
"2015-01-08",822.75,838.97998046875,820.559997558594,837.72998046875,514715400,837.72998046875
"2015-01-09",835.909973144531,840.590026855469,818.950012207031,824.390014648438,499788100,824.390014648438
"2015-01-12",827.469970703125,836.950012207031,822.090026855469,832.760009765625,424327700,832.760009765625
"2015-01-13",828.669982910156,848.469970703125,827.549987792969,845.299987792969,435772700,845.299987792969
"2015-01-14",834.450012207031,847.969970703125,830.989990234375,833.75,592871300,833.75
"2015-01-15",841.739990234375,853.969970703125,817.530029296875,851.799987792969,837695100,851.799987792969
"2015-01-16",847.820007324219,863.75,847.510009765625,862.820007324219,592856800,862.820007324219
"2015-01-19",864.52001953125,870.429992675781,860.669982910156,866.809997558594,470919100,866.809997558594
"2015-01-20",869.080017089844,877.599975585938,868.640014648438,873.789978027344,577233000,873.789978027344
"2015-01-21",876.219970703125,881.400024414062,868.289978027344,881.400024414062,652271800,881.400024414062
"2015-01-22",882.210021972656,896.640014648438,877.929992675781,894.260009765625,924727500,894.260009765625
"2015-01-23",901.099975585938,917.619995117188,900.330017089844,911.72998046875,804870700,911.72998046875
"2015-01-26",907.630004882812,920.400024414062,907.630004882812,920,508508000,920
"2015-01-27",919.510009765625,921.109985351562,906.239990234375,911.380004882812,457454300,911.380004882812
"2015-01-28",917.599975585938,917.72998046875,904.039978027344,909.719970703125,858613300,909.719970703125
"2015-01-29",901.419982910156,912.330017089844,901.419982910156,912.280029296875,732705400,912.280029296875
"2015-01-30",915.97998046875,916.559997558594,902.799987792969,906.280029296875,545062800,906.280029296875
"2015-02-02",908.130004882812,913.090026855469,900.039978027344,908.210021972656,505824600,908.210021972656
"2015-02-03",912.77001953125,921.52001953125,911.359985351562,918.320007324219,816681900,918.320007324219
"2015-02-04",919.27001953125,922.390014648438,912.719970703125,922.390014648438,449643000,922.390014648438
"2015-02-05",914.330017089844,923.380004882812,912.880004882812,923.299987792969,485801100,923.299987792969
"2015-02-06",922.299987792969,923.700012207031,917.640014648438,921.280029296875,500717100,921.280029296875
"2015-02-09",914.289978027344,914.630004882812,905.72998046875,912.450012207031,462710900,912.450012207031
"2015-02-10",914.5,925.059997558594,910.780029296875,921.469970703125,469945100,921.469970703125
"2015-02-11",921.340026855469,923.359985351562,917.669982910156,922.010009765625,434542500,922.010009765625
"2015-02-12",920.130004882812,931.900024414062,919.390014648438,928.330017089844,550762900,928.330017089844
"2015-02-13",932.049987792969,937.140014648438,930.869995117188,933.210021972656,672765400,933.210021972656
"2015-02-16",933.109985351562,934.070007324219,930.25,931.030029296875,386881100,931.030029296875
"2015-02-17",926.820007324219,934.409973144531,920.52001953125,933.299987792969,725161900,933.299987792969
"2015-02-18",937.489990234375,942.099975585938,936.530029296875,941.309997558594,693762200,941.309997558594
"2015-02-19",939.340026855469,948.72998046875,935.77001953125,947.489990234375,538009900,947.489990234375
"2015-02-20",945.510009765625,947.460021972656,939.070007324219,947.299987792969,591615200,947.299987792969
"2015-02-23",954.840026855469,955.559997558594,949.950012207031,955.559997558594,542242400,955.559997558594
"2015-02-24",956.789978027344,962.869995117188,954.010009765625,961.140014648438,534462200,961.140014648438
"2015-02-25",960.75,962.5,955.940002441406,959.22998046875,567768900,959.22998046875
"2015-02-26",958.559997558594,967.450012207031,957.489990234375,967.450012207031,467237900,967.450012207031
"2015-02-27",966.559997558594,973.010009765625,964.510009765625,973.010009765625,489745900,973.010009765625
"2015-03-02",972.330017089844,976.380004882812,967.97998046875,971.039978027344,418615400,971.039978027344
"2015-03-03",971.539978027344,973.510009765625,959.77001953125,960.640014648438,989202200,960.640014648438
"2015-03-04",962.690002441406,969.099975585938,958.609985351562,969.099975585938,456704300,969.099975585938
"2015-03-05",970.960021972656,980.469970703125,970.630004882812,979.320007324219,378464900,979.320007324219
"2015-03-06",977.590026855469,985.380004882812,977.109985351562,980.690002441406,485686800,980.690002441406
"2015-03-09",975.890014648438,977.099975585938,970.820007324219,973.799987792969,388255800,973.799987792969
"2015-03-10",972.179992675781,974.440002441406,961.900024414062,962.900024414062,480015900,962.900024414062
"2015-03-11",966.390014648438,985.440002441406,966.320007324219,984.150024414062,500430700,984.150024414062
"2015-03-12",983.929992675781,986.049987792969,981.280029296875,982.640014648438,440747000,982.640014648438
"2015-03-13",984.830017089844,986.090026855469,979.049987792969,986.039978027344,451240400,986.039978027344
"2015-03-16",987.469970703125,997.289978027344,987.469970703125,995.72998046875,419140400,995.72998046875
"2015-03-17",996.700012207031,998.460021972656,984.419982910156,988.22998046875,497513200,988.22998046875
"2015-03-18",988.570007324219,989.840026855469,982.890014648438,988.900024414062,518370900,988.900024414062
"2015-03-19",988.880004882812,993.710021972656,984.659973144531,989.27001953125,425891800,989.27001953125
"2015-03-20",991.27001953125,1000.03997802734,989.340026855469,996.900024414062,962578600,996.900024414062
"2015-03-23",995.280029296875,995.280029296875,988.039978027344,991.390014648438,574291600,991.390014648438
"2015-03-24",988.390014648438,998.460021972656,987.200012207031,995.630004882812,927250000,995.630004882812
"2015-03-25",992.52001953125,995.909973144531,982,983.400024414062,626214200,983.400024414062
"2015-03-26",976.219970703125,978.22998046875,964.760009765625,978.22998046875,603819700,978.22998046875
"2015-03-27",981.320007324219,984.799987792969,977.159973144531,981.960021972656,427087100,981.960021972656
"2015-03-30",986.52001953125,995.919982910156,985.159973144531,994.049987792969,356213000,994.049987792969
"2015-03-31",993.02001953125,997.400024414062,982.909973144531,984.5,458729600,984.5
"2015-04-01",979.489990234375,997.739990234375,978.950012207031,988.869995117188,412086900,988.869995117188
