date,France_CAC40,Germany_DAX,UK_FTSE
2008-12-03,0.0044,0.0078,0.0060
2008-12-04,-0.0017,-0.0007,-0.0142
2008-12-05,-0.0548,-0.0400,-0.0299
2008-12-08,0.0868,0.0763,0.0621
2008-12-09,0.0155,0.0134,0.0178
2008-12-10,0.0068,0.0054,-0.0089
2008-12-11,-0.0043,-0.0078,-0.0057
2008-12-12,-0.0280,-0.0218,-0.0363
2008-12-15,-0.0087,-0.0018,0.0063
2008-12-16,0.0207,0.0161,-0.0037
2008-12-17,-0.0030,-0.0046,-0.0272
2008-12-18,-0.0024,0.0102,-0.0145
2008-12-19,-0.0026,-0.0126,0.0004
2008-12-22,-0.0231,-0.0123,-0.0116
2008-12-23,-0.0073,-0.0021,-0.0110
2008-12-24,-0.0039,0.0000,-0.0106
2008-12-26,0.0000,0.0000,-0.0056
2008-12-29,0.0047,0.0163,0.0013
2008-12-30,0.0276,0.0224,0.0144
2008-12-31,0.0003,0.0000,0.0232
2009-01-02,0.0409,0.0339,0.0361
2009-01-05,0.0031,0.0022,0.0310
2009-01-06,0.0108,0.0085,0.0406
2009-01-07,-0.0148,-0.0177,-0.0167
2009-01-08,-0.0065,-0.0117,-0.0038
2009-01-09,-0.0075,-0.0197,0.0049
2009-01-12,-0.0162,-0.0134,-0.0185
2009-01-13,-0.0149,-0.0175,-0.0125
2009-01-14,-0.0456,-0.0463,-0.0498
2009-01-15,-0.0184,-0.0194,-0.0057
2009-01-16,0.0070,0.0068,0.0102
2009-01-20,-0.0303,-0.0290,-0.0472
2009-01-21,-0.0067,0.0050,-0.0214
2009-01-22,-0.0124,-0.0098,-0.0075
2009-01-23,-0.0071,-0.0096,0.0073
2009-01-26,0.0373,0.0354,0.0323
2009-01-27,-0.0003,-0.0008,0.0101
2009-01-28,0.0411,0.0452,0.0302
2009-01-29,-0.0215,-0.0201,-0.0130
2009-01-30,-0.0119,-0.0203,0.0173
2009-02-02,-0.0148,-0.0155,-0.0341
2009-02-03,0.0179,0.0243,0.0224
2009-02-04,0.0290,0.0269,0.0361
2009-02-05,-0.0009,0.0039,0.0093
2009-02-06,0.0184,0.0297,0.0214
2009-02-09,0.0039,0.0048,-0.0012
2009-02-10,-0.0364,-0.0346,-0.0345
2009-02-11,0.0023,0.0054,-0.0077
2009-02-12,-0.0209,-0.0270,-0.0048
2009-02-13,0.0113,0.0013,-0.0012
2009-02-17,-0.0409,-0.0446,-0.0239
2009-02-18,-0.0004,-0.0028,-0.0081
2009-02-19,-0.0005,0.0024,-0.0013
